Ituri,17/05/2026,"La notification officielle de l'alerte a eu lieu le 8 mai 2026 suite à des rumeurs de décès groupés. La situation épidémiologique et les listes des cas suspects et probables ont été mises à jour. Le prélèvement, l'analyse et l'envoi des échantillons à l'INRB ont été effectués."
Ituri,18/05/2026,"Les équipes de surveillance ont été informées des alertes, des enquêtes, de la recherche active des cas, de la liste des contacts et du suivi. L'équipe PoE/PoC a été informée de la cartographie de leurs sites. Le pilier surveillance a été organisé, y compris l'identification des points focaux par zone de santé et la définition des rôles et responsabilités. Des équipes de surveillance ont été déployées dans trois zones sanitaires épidémiques."
Ituri,19/05/2026,"Une cartographie des cas confirmés a été réalisée dans deux zones de santé, une recherche active des cas dans quatre et des enquêtes d'alerte de MVE dans huit. Au PoE Ofoo (Aru HZ), un voyageur en provenance de Bukavu via Kigali et l'Ouganda se dirigeant vers Durba a été identifié. Au PoE Kasenyi (Tchomia HZ), un cadavre originaire de Kampala, en Ouganda, à destination de la ville de Bunia a été identifié."
Nord-Kivu,20/05/2026,Soutien à deux zones de santé avec enquête et liste de contacts autour des cas confirmés. Mettre en place un système de gestion des alertes et promouvoir la hotline de la protection civile. Début du suivi des contacts autour d’un cas confirmé. Mené des enquêtes et établi une liste de contacts autour de quatre cas confirmés au Nord-Kivu.
Ituri,22/05/2026,"Les termes de référence pour le déploiement d'équipes multidisciplinaires provinciales dans une zone de santé ont été transmis à la coordination. Les termes de référence pour la formation des acteurs (ECZS, IT & ITA, responsables des agents communautaires, gestionnaires de données) dans 5 zones de santé actives ont été transmis à la coordination. Des thermo-flash ont été réalisés dans une autre zone de santé (4 unités)."
Ituri,21/05/2026,"Un projet de termes de référence a été élaboré pour le déploiement d'équipes multidisciplinaires provinciales dans une zone de santé. Des projets de termes de référence ont également été élaborés pour la formation des acteurs (ECZS, IT & ITA, responsables des agents communautaires, gestionnaires de données) dans 5 zones de santé actives. Des thermo-flash ont été réalisés dans deux zones de santé pour le suivi des contacts (respectivement 12 et 11 unités)."
Ituri,05/06/2026,"Surveillance de routine effectuée. Enquêtes approfondies autour des cas confirmés dans 3 zones de santé. 97 alertes déclenchées, 100 % instruites, 72 validées (74,2 %). Recherche des contacts : 4 281 contacts suivis, 2 701 vus (63,1 %), contre 54,6 % la veille."
Nord-Kivu,05/06/2026,"Au total, 340 alertes ont été émises, toutes ont fait l'objet d'une enquête (100 %) et 40 ont été validées (11,8 %). Pour le traçage des contacts, 689 contacts ont été suivis, dont 578 vus (83,9%), ce qui représente une amélioration par rapport à la veille (72,0%)."
Sud-Kivu,05/06/2026,"Au total, 8 alertes ont été émises, toutes ont fait l'objet d'une enquête (100 %) et 7 ont été validées (87,5 %). Pour la recherche des contacts, 187 contacts ont été suivis, dont 184 ont été vus (98,4 %)."
Nord-Kivu,07/06/2026,"Au total, 290 alertes ont été émises, toutes ont fait l'objet d'une enquête (100,0 %). Les cas validés comprenaient 34 vivants et 1 décédé, pour un total de 59 cas suspects. Les contacts suivis étaient au nombre de 738, dont 587 vus, pour un taux de suivi de 79,5 %."
