raw_label,role,action,reason
sk Haut Plateau Zone de Sant̩,destination,dropped,no shapefile Nom or alias match
sk Haut Plateau Zone de Sant̩,destination,dropped,no shapefile Nom or alias match
sk Haut Plateau Zone de Sant̩,origin,dropped,no shapefile Nom or alias match
sk Haut Plateau Zone de Sant̩,origin,dropped,no shapefile Nom or alias match
sk Haut Plateau Zone de Sant̩,destination,dropped,no shapefile Nom or alias match
sk Haut Plateau Zone de Sant̩,origin,dropped,no shapefile Nom or alias match
tn Kiambi Zone de Sant̩,destination,dropped,no shapefile Nom or alias match
tn Kiambi Zone de Sant̩,origin,dropped,no shapefile Nom or alias match
tn Kiambi Zone de Sant̩,destination,dropped,no shapefile Nom or alias match
tn Kiambi Zone de Sant̩,origin,dropped,no shapefile Nom or alias match
tn Kiambi Zone de Sant̩,destination,dropped,no shapefile Nom or alias match
tn Kiambi Zone de Sant̩,origin,dropped,no shapefile Nom or alias match
tn Kiambi Zone de Sant̩,destination,dropped,no shapefile Nom or alias match
tn Kiambi Zone de Sant̩,origin,dropped,no shapefile Nom or alias match
tn Kiambi Zone de Sant̩,destination,dropped,no shapefile Nom or alias match
ke Citenge Zone de Sant̩,destination,dropped,no shapefile Nom or alias match
