"","nom","gdp_pc"
"1","Aketi",767.365413502607
"2","Ango",848.744414609077
"3","Bili (Bas-Uele)",905.1309925652
"4","Bondo",911.74098062293
"5","Buta",523.447133520714
"6","Ganga",805.354760437847
"7","Likati",792.174181474128
"8","Monga",875.908891408747
"9","Poko",720.699963314405
"10","Titule",605.679491610861
"11","Viadana",718.647691650346
"12","Aba",614.309123800315
"13","Boma Mangbetu",649.795079804045
"14","Doruma",611.812641088822
"15","Dungu",683.930446056704
"16","Faradje",607.61221288795
"17","Gombari",498.400327475097
"18","Isiro",864.694537755158
"19","Niangara",678.331674687351
"20","Pawa",657.70662070587
"21","Rungu",754.715730448801
"22","Wamba",658.620548810451
"23","Makoro",627.485474419177
"24","Watsa",525.246169920178
"25","Basankusu",847.752839810019
"26","Bikoro",717.038581562786
"27","Bolenge",1374.34240129375
"28","Bolomba",730.759677217357
"29","Bomongo",1091.33950033041
"30","Djombo",685.420222176718
"31","Iboko",658.878562923093
"32","Ingende",621.186043782658
"33","Irebu",1052.34710756414
"34","Lilanga Bobangi",1742.80403933748
"35","Lotumbe",624.965152282211
"36","Lukolela",1438.82684098549
"37","Makanza",608.387882654
"38","Mampoko",739.853489699983
"39","Mbandaka",1433.1290422938
"40","Monieka",742.758535438398
"41","Ntondo",659.714509228818
"42","Wangata",1324.01737814649
"43","Kambove",650.625613634904
"44","Kapolowe",597.717924612525
"45","Kikula",1458.83334026244
"46","Kilela Balanda",714.110076240151
"47","Likasi",1326.18289455519
"48","Mitwaba",702.329055430719
"49","Mufunga Sampwe",700.775495489346
"50","Panda",1038.39567186393
"51","Kafubu",894.360334426732
"52","Kamalondo",1661
"53","Kampemba",1652.68767427789
"54","Kasenga",1653.39190142997
"55","Kashobwe",1522.68089396661
"56","Katuba",1654.77378786357
"57","Kenya",1539.79704601072
"58","Kilwa",726.369058190441
"59","Kipushi",1379.01314587882
"60","Kisanga",1631.08002354273
"61","Kowe",1454.4877460096
"62","Lubumbashi",1649.93032316149
"63","Lukafu",748.154616090322
"64","Mumbunda",1646.79629258318
