"","nom","healthsite_density"
"1","Aketi",0.00130078898937659
"2","Ango",0.00062324500645399
"3","Bili (Bas-Uele)",0.000630257920447952
"4","Bondo",0.00093146963682311
"5","Buta",0.00180908909544485
"6","Ganga",0.00228591552232378
"7","Likati",0.00103664417807123
"8","Monga",0.00162591451378065
"9","Poko",0.00110151781688996
"10","Titule",0.00137216396862458
"11","Viadana",0.00368844878782107
"12","Aba",0.0156935069872534
"13","Boma Mangbetu",0.0521272741320033
"14","Doruma",0.00186062613752457
"15","Dungu",0.00516693923450575
"16","Faradje",0.00847877326882946
"17","Gombari",0.00232479309261124
"18","Isiro",0.0308429628138354
"19","Niangara",0.00735266849275648
"20","Pawa",0.0498155489141794
"21","Rungu",0.00665470243547364
"22","Wamba",0.0127153544479602
"23","Makoro",0.0176679400834038
"24","Watsa",0.00969877206806339
"25","Basankusu",0.00262433717418227
"26","Bikoro",0.00705659508175944
"27","Bolenge",0.00743865771677551
"28","Bolomba",0.00250099715403341
"29","Bomongo",0.00175541812207206
"30","Djombo",0.00364902849383495
"31","Iboko",0.00640433071872111
"32","Ingende",0.00360481119567593
"33","Irebu",0.00339454061872969
"34","Lilanga Bobangi",0.00301143770452654
"35","Lotumbe",0.00209979138021326
"36","Lukolela",0.00285193911403495
"37","Makanza",0.00254259238739861
"38","Mampoko",0.00453436345684559
"39","Mbandaka",0.0137562764984094
"40","Monieka",0.00180514446198632
"41","Ntondo",0.00428173992006922
"42","Wangata",0.0799688227673547
"43","Kambove",0.0256422594201681
"44","Kapolowe",0.0176046455267133
"45","Kikula",1.83585605654096
"46","Kilela Balanda",0.00356991213571697
"47","Likasi",1.58797494783009
"48","Mitwaba",0.00736330705211617
"49","Mufunga Sampwe",0.00678154333199072
"50","Panda",0.259506241350234
"51","Kafubu",0.0156811925716509
"52","Kamalondo",18.2673340763842
"53","Kampemba",7.05414456976271
"54","Kasenga",0.0068340004827138
"55","Kashobwe",0.00729212772370864
"56","Katuba",11.157871068798
"57","Kenya",1.69351622376197
"58","Kilwa",0.00906774702543578
"59","Kipushi",0.0577959803341022
"60","Kisanga",0.931387108984391
"61","Kowe",5.69919397629987
"62","Lubumbashi",1.7649214901141
"63","Lukafu",0.00464274406584852
"64","Mumbunda",1.24739308363983
"65","Pweto",0.00737910642565171
"66","Ruashi",2.22142347267877
"67","Sakania",0.00946631533652763
"68","Tshamilemba",6.70378052651587
"69","Vangu",1.40079423156171
"70","Bukama",0.0107402432539135
"71","Butumba",0.0074219453257371
"72","Kabondo Dianda",0.0163061889479923
"73","Kinkondja",0.00977987197264649
"74","Lwamba",0.00727887756110507
"75","Malemba Nkulu",0.0328109018912708
"76","Mukanga",0.0119440827730355
"77","Mulongo",0.00911243122508809
"78","Baka",0.0252614692667307
"79","Kabongo",0.00711866932917231
"80","Kamina",0.00622613312695481
"81","Kaniama",0.00554363033999084
"82","Kayamba",0.011159352118864
"83","Kinda",0.00136946322599364
"84","Kitenge",0.00532187788739319
"85","Songa",0.00330095092849825
"86","Adi",0.0618705890437458
"87","Adja",0.0706739051922047
"88","Angumu",0.245366212785527
"89","Ariwara",0.115099824857476
"90","Aru",0.048150062386145
"91","Aungba",0.0455635366696849
"92","Biringi",0.0299021496629851
"93","Kambala",0.0329063462443829
"94","Laybo",0.0459764679732238
"95","Logo",0.166162482183645
"96","Mahagi",0.195552129414042
"97","Nyarambe",0.21396966017319
"98","Rimba",0.110751648656666
"99","Bambu",0.109545840688346
"100","Boga",0.0313274829894913
"101","Bunia",1.35679246585828
"102","Damas",0.0245700978372986
"103","Drodro",0.104454736084019
"104","Fataki",0.085009885684364
"105","Gety",0.0411983235847062
"106","Jiba",0.140429645296808
"107","Kilo",0.0918306776874153
"108","Komanda",0.0456138557223263
"109","Linga",0.118205428701339
"110","Lita",0.0542097636692426
"111","Lolwa",0.0135970187570765
"112","Mambasa",0.00470755098639549
"113","Mandima",0.0223470686918147
"114","Mangala",0.0468177689500622
"115","Mongbwalu",0.0279901500273228
"116","Nia Nia",0.0129049396271526
"117","Nizi",0.304138249924367
"118","Nyankunde",0.0523454772561001
"119","Rethy",0.0942958673278179
"120","Rwampara",0.0776327045469599
"121","Tchomia",0.0977074492727047
"122","Bulape",0.0110590076157762
"123","Dekese",0.00364645000523819
"124","Ilebo",0.0939815082206126
"125","Kakenge",0.0167014935558587
"126","Luebo",0.0192310893923586
"127","Mikope",0.0120777472322783
"128","Mushenge",0.0161962939533661
"129","Mweka",0.0228741883956036
"130","Ndjoko Mpunda",0.0297764534477324
"131","Banga Lubaka",0.0200581503064145
"132","Kalonda Ouest",0.0503355476701379
"133","Kamonia",0.0326040322718454
"134","Kamwesha",0.0399568420299817
"135","Kanzala",0.225291458166748
"136","Kitangwa",0.0144159310802164
"137","Mutena",0.041478585182918
"138","Nyanga",0.0250037535963703
"139","Tshikapa",0.0565472051909217
"140","Bena Leka",0.0156275840198091
"141","Bena Tshadi",0.0127462281173434
"142","Bilomba",0.0406616861126322
"143","Bobozo",0.2683220340005
"144","Bunkonde",0.0295596600171853
"145","Demba",0.023408614055445
