"","nom","healthsite_count"
"1","Aketi",0
"2","Ango",0
"3","Bili (Bas-Uele)",0
"4","Bondo",0
"5","Buta",0
"6","Ganga",0
"7","Likati",0
"8","Monga",0
"9","Poko",0
"10","Titule",0
"11","Viadana",1
"12","Aba",0
"13","Boma Mangbetu",0
"14","Doruma",0
"15","Dungu",0
"16","Faradje",0
"17","Gombari",0
"18","Isiro",1
"19","Niangara",0
"20","Pawa",0
"21","Rungu",0
"22","Wamba",0
"23","Makoro",0
"24","Watsa",0
"25","Basankusu",0
"26","Bikoro",19
"27","Bolenge",10
"28","Bolomba",1
"29","Bomongo",0
"30","Djombo",0
"31","Iboko",4
"32","Ingende",1
"33","Irebu",0
"34","Lilanga Bobangi",1
"35","Lotumbe",0
"36","Lukolela",0
"37","Makanza",0
"38","Mampoko",2
"39","Mbandaka",13
"40","Monieka",0
"41","Ntondo",2
"42","Wangata",32
"43","Kambove",0
"44","Kapolowe",0
"45","Kikula",0
"46","Kilela Balanda",0
"47","Likasi",0
"48","Mitwaba",0
"49","Mufunga Sampwe",0
"50","Panda",0
"51","Kafubu",0
"52","Kamalondo",0
"53","Kampemba",16
"54","Kasenga",0
"55","Kashobwe",0
"56","Katuba",0
"57","Kenya",1
"58","Kilwa",0
"59","Kipushi",0
"60","Kisanga",6
"61","Kowe",1
"62","Lubumbashi",25
"63","Lukafu",1
"64","Mumbunda",8
"65","Pweto",2
"66","Ruashi",22
"67","Sakania",0
"68","Tshamilemba",3
"69","Vangu",0
"70","Bukama",21
"71","Butumba",0
"72","Kabondo Dianda",1
"73","Kinkondja",0
"74","Lwamba",0
"75","Malemba Nkulu",0
"76","Mukanga",0
"77","Mulongo",2
"78","Baka",0
"79","Kabongo",0
"80","Kamina",2
"81","Kaniama",0
"82","Kayamba",0
"83","Kinda",0
"84","Kitenge",0
"85","Songa",0
"86","Adi",1
"87","Adja",0
"88","Angumu",0
"89","Ariwara",23
"90","Aru",1
"91","Aungba",0
"92","Biringi",0
"93","Kambala",0
"94","Laybo",0
"95","Logo",0
"96","Mahagi",0
"97","Nyarambe",1
"98","Rimba",0
"99","Bambu",12
"100","Boga",13
"101","Bunia",40
"102","Damas",0
"103","Drodro",6
"104","Fataki",0
"105","Gety",2
"106","Jiba",0
"107","Kilo",10
"108","Komanda",1
"109","Linga",0
"110","Lita",1
"111","Lolwa",9
"112","Mambasa",4
"113","Mandima",23
"114","Mangala",0
"115","Mongbwalu",2
"116","Nia Nia",1
"117","Nizi",4
"118","Nyankunde",2
"119","Rethy",0
"120","Rwampara",17
"121","Tchomia",14
"122","Bulape",0
"123","Dekese",0
"124","Ilebo",0
"125","Kakenge",0
"126","Luebo",0
"127","Mikope",0
"128","Mushenge",0
"129","Mweka",0
"130","Ndjoko Mpunda",0
"131","Banga Lubaka",0
"132","Kalonda Ouest",28
"133","Kamonia",9
"134","Kamwesha",10
"135","Kanzala",4
"136","Kitangwa",0
"137","Mutena",0
"138","Nyanga",0
"139","Tshikapa",4
"140","Bena Leka",0
"141","Bena Tshadi",0
"142","Bilomba",0
"143","Bobozo",0
"144","Bunkonde",0
"145","Demba",0
"146","Dibaya",0
"147","Kananga",2
"148","Katende",0
"149","Katoka",0
"150","Lubondaie",0
"151","Lubunga (Kasaï-Central)",0
"152","Lukonga",0
"153","Mikalayi",0
"154","Muetshi",0
"155","Mutoto",0
"156","Ndekesha",0
"157","Ndesha",0
"158","Tshikaji",0
"159","Tshikula",0
"160","Kalomba",0
"161","Luambo",0
"162","Luiza",0
"163","Masuika",1
"164","Tshibala",0
"165","Yangala",0
"166","Bibanga",2
"167","Bipemba",0
"168","Bonzola",2
"169","Cilundu",0
"170","Citenge",1
"171","Dibindi",1
"172","Diulu",0
"173","Kabeya Kamwanga",0
"174","Kansele",0
"175","Kasansa",0
"176","Lubilanji",0
"177","Lukelenge",0
"178","Miabi",1
"179","Mpokolo",0
"180","Mukumbi",1
"181","Muya",0
"182","Nzaba",0
"183","Tshilenge",0
"184","Tshishimbi",1
"185","Bumbu",29
"186","Kalamu 1",18
"187","Kalamu 2",9
"188","Kasa Vubu",20
"189","Kingabwa",57
"190","Kisenso",53
"191","Lemba",45
"192","Limete",39
"193","Makala",14
"194","Matete",35
"195","Ngaba",15
"196","Ngiri Ngiri",28
"197","Biyela",24
"198","Kikimi",16
"199","Kimbanseke",27
"200","Kingasani",16
"201","Maluku 1",14
"202","Maluku 2",21
"203","Masina 1",36
"204","Masina 2",20
"205","Ndjili",51
"206","Nsele",23
"207","Bandalungwa",25
"208","Barumbu",21
"209","Binza Meteo",25
"210","Binza Ozone",33
"211","Gombe",31
"212","Kinshasa",17
"213","Kintambo",11
"214","Kokolo",18
"215","Lingwala",11
"216","Mont Ngafula 1",38
"217","Mont Ngafula 2",40
"218","Police",9
"219","Selembao",40
"220","Boma",1
"221","Boma Bungu",0
"222","Kangu",0
"223","Kinkonzi",0
"224","Kitona",0
"225","Kizu",0
"226","Kuimba",0
"227","Lukula",1
"228","Muanda",1
"229","Tshela",0
"230","Vaku",0
"231","Inga",0
"232","Kibunzi",0
"233","Luozi",0
"234","Mangembo",0
"235","Matadi",3
"236","Nsona Mpangu",2
"237","Nzanza",0
"238","Seke Banza",0
"239","Boko Kivulu",0
"240","Gombe Matadi",0
"241","Kimpangu",0
"242","Kimpese",0
"243","Kimvula",0
"244","Kisantu",0
"245","Kwilu Ngongo",0
"246","Massa",1
"247","Mbanza Ngungu",8
"248","Ngidinga",0
"249","Nselo",0
"250","Sona Bata",0
"251","Kahemba",0
"252","Kajiji",0
"253","Kisanji",0
"254","Panzi",0
"255","Tembo",0
"256","Boko",0
"257","Feshi",0
"258","Kasongo Lunda",0
"259","Kenge",0
"260","Kimbao",0
"261","Kitenda",0
"262","Mwela Lembwa",0
"263","Popokabaka",2
"264","Wamba Lwadi",0
"265","Bagata",0
"266","Bandundu",12
"267","Djuma",0
"268","Kikongo",0
"269","Sia",0
"270","Vanga",2
"271","Bulungu",0
"272","Gungu",0
"273","Idiofa",0
"274","Ipamu",0
"275","Kikwit Nord",1
"276","Kikwit Sud",0
"277","Kimputu",0
"278","Kingandu",7
"279","Koshibanda",0
"280","Lusanga",0
"281","Masi Manimba",0
"282","Moanza",0
"283","Mokala",1
"284","Mosango",0
"285","Mukedi",0
"286","Mungindu",0
"287","Pay Kongila",0
"288","Yasa Bonga",0
"289","Kabinda",3
"290","Kalambayi Kabanga",1
"291","Kalonda Est",0
"292","Kamana",0
"293","Lubao",0
"294","Ludimbi Lukula",0
"295","Mulumba",0
"296","Ngandajika",3
"297","Tshofa",0
"298","Kalenda",0
"299","Kamiji",0
"300","Kanda Kanda",0
"301","Luputa",1
"302","Makota",4
"303","Mweneditu",0
"304","Wikong",0
"305","Dilolo",2
"306","Kafakumba",0
"307","Kalamba",0
"308","Kapanga",0
"309","Kasaji",0
"310","Sandoa",0
"311","Bunkeya",0
"312","Dilala",0
"313","Fungurume",0
"314","Kanzenze",0
"315","Lualaba",0
"316","Lubudi",1
"317","Manika",0
"318","Mutshatsha",0
"319","Banzow Moke",0
"320","Inongo",15
"321","Kiri",4
"322","Mimia",0
"323","Ntandembelo",0
"324","Oshwe",0
"325","Pendjwa",19
"326","Yumbi",1
"327","Bokoro",0
"328","Bolobo",0
"329","Bosobe",0
"330","Kwamouth",0
"331","Mushie",0
"332","Nioki",1
"333","Kabambare",2
"334","Kampene",0
"335","Kasongo",0
"336","Kibombo",14
"337","Kunda",0
"338","Lusangi",0
"339","Saramabila",0
"340","Tunda",0
"341","Alunguli",0
"342","Kailo",1
"343","Kalima",0
"344","Kindu",1
"345","Pangi",0
"346","Samba",0
"347","Ferekeni",0
"348","Lubutu",0
"349","Obokote",0
"350","Punia",0
"351","Bumba",0
"352","Lolo",0
"353","Yamaluka",0
"354","Yambuku",0
"355","Yamongili",0
"356","Binga",0
"357","Bongandanga",0
"358","Boso Manzi",1
"359","Boso Mondanda",0
"360","Bosondjo",0
"361","Lisala",0
"362","Pimu",0
"363","Alimbongo",5
"364","Beni",123
"365","Biena",2
"366","Butembo",41
"367","Kalunguta",31
"368","Kamango",5
"369","Katwa",120
"370","Kyondo",33
"371","Lubero",44
"372","Mabalako",15
"373","Manguredjipa",4
"374","Masereka",23
"375","Musienene",56
"376","Mutwanga",17
"377","Oicha",15
"378","Vuhovi",25
"379","Bambo",7
"380","Binza",0
"381","Birambizo",0
"382","Goma",38
"383","Itebero",0
"384","Karisimbi",85
"385","Katoyi",5
"386","Kayna",23
"387","Kibirizi",5
"388","Kibua",2
"389","Kirotshe",122
"390","Masisi",26
"391","Mweso",0
"392","Nyiragongo",29
"393","Pinga",0
"394","Rutshuru",1
"395","Rwanguba",13
"396","Walikale",0
"397","Abuzi",0
"398","Bili (Nord-Ubangi)",0
"399","Bosobolo",0
"400","Businga",0
"401","Gbadolite",0
"402","Karawa",0
"403","Loko",0
"404","Mobayi Mbongo",0
"405","Wapinda",0
"406","Wasolo",0
"407","Yakoma",0
"408","Bena Dibele",0
"409","Djalo Ndjeka",0
"410","Katako Kombe",0
"411","Kole",0
"412","Lodja",0
"413","Lomela",0
"414","Lusambo",0
"415","Omendjadi",0
"416","Ototo",0
"417","Tshudi Loto",0
"418","Vanga Kete",0
"419","Dikungu",0
"420","Minga",2
"421","Pania Mutombo",0
"422","Tshumbe",1
"423","Wembo Nyama",0
"424","Bagira",12
"425","Bunyakiri",0
"426","Ibanda",40
"427","Idjwi",20
"428","Kabare",0
"429","Kadutu",19
"430","Kalehe",0
"431","Kalole",0
"432","Kalonge",0
"433","Kamituga",22
"434","Kaniola",0
"435","Katana",1
"436","Kaziba",0
"437","Kitutu",0
"438","Lulingu",0
"439","Minova",1
"440","Miti Murhesa",3
"441","Mubumbano",0
"442","Mulungu",0
"443","Mwana",0
"444","Mwenga",4
"445","Nyangezi",0
"446","Nyantende",1
"447","Shabunda",0
"448","Walungu",0
"449","Fizi",85
"450","Haut Plateau",0
"451","Itombwe",0
"452","Kimbi Lulenge",12
"453","Lemera",0
"454","Minembwe",0
"455","Nundu",10
"456","Ruzizi",1
"457","Uvira",4
"458","Bangabola",0
"459","Bogosenubea",0
"460","Bokonzi",0
"461","Bominenge",0
"462","Boto",0
"463","Budjala",0
"464","Bulu",0
"465","Bwamanda",0
"466","Gemena",0
"467","Kungu",0
"468","Libenge",0
"469","Mawuya",0
"470","Mbaya",0
