"","nom","healthsite_density"
"1","Aketi",0
"2","Ango",0
"3","Bili (Bas-Uele)",0
"4","Bondo",0
"5","Buta",0
"6","Ganga",0
"7","Likati",0
"8","Monga",0
"9","Poko",0
"10","Titule",0
"11","Viadana",0.000263460627701505
"12","Aba",0
"13","Boma Mangbetu",0
"14","Doruma",0
"15","Dungu",0
"16","Faradje",0
"17","Gombari",0
"18","Isiro",0.000305375869443915
"19","Niangara",0
"20","Pawa",0
"21","Rungu",0
"22","Wamba",0
"23","Makoro",0
"24","Watsa",0
"25","Basankusu",0
"26","Bikoro",0.00478840380547962
"27","Bolenge",0.00676241610615955
"28","Bolomba",7.5787792546467e-05
"29","Bomongo",0
"30","Djombo",0
"31","Iboko",0.00134828015130971
"32","Ingende",0.000171657675984568
"33","Irebu",0
"34","Lilanga Bobangi",0.000188214856532909
"35","Lotumbe",0
"36","Lukolela",0
"37","Makanza",0
"38","Mampoko",0.000453436345684559
"39","Mbandaka",0.00851579021330104
"40","Monieka",0
"41","Ntondo",0.00061167713143846
"42","Wangata",0.159937645534709
"43","Kambove",0
"44","Kapolowe",0
"45","Kikula",0
"46","Kilela Balanda",0
"47","Likasi",0
"48","Mitwaba",0
"49","Mufunga Sampwe",0
"50","Panda",0
"51","Kafubu",0
"52","Kamalondo",0
"53","Kampemba",0.360595249572535
"54","Kasenga",0
"55","Kashobwe",0
"56","Katuba",0
"57","Kenya",0.012638180774343
"58","Kilwa",0
"59","Kipushi",0
"60","Kisanga",0.0372554843593756
"61","Kowe",0.474932831358323
"62","Lubumbashi",0.173712745089971
"63","Lukafu",8.29061440330093e-05
"64","Mumbunda",0.062761916157979
"65","Pweto",0.000204975178490325
"66","Ruashi",0.200292280323495
"67","Sakania",0
"68","Tshamilemba",0.158357020311398
"69","Vangu",0
"70","Bukama",0.00410082015149423
"71","Butumba",0
"72","Kabondo Dianda",0.000229664633070313
"73","Kinkondja",0
"74","Lwamba",0
"75","Malemba Nkulu",0
"76","Mukanga",0
"77","Mulongo",0.000467304165389133
"78","Baka",0
"79","Kabongo",0
"80","Kamina",0.000204135512359174
"81","Kaniama",0
"82","Kayamba",0
"83","Kinda",0
"84","Kitenge",0
"85","Songa",0
"86","Adi",0.000923441627518595
"87","Adja",0
"88","Angumu",0
"89","Ariwara",0.0343804671652202
"90","Aru",0.00102446941247117
"91","Aungba",0
"92","Biringi",0
"93","Kambala",0
"94","Laybo",0
"95","Logo",0
"96","Mahagi",0
"97","Nyarambe",0.00205740057858837
"98","Rimba",0
"99","Bambu",0.0257754919266697
"100","Boga",0.0131373315762383
"101","Bunia",0.33919811646457
"102","Damas",0
"103","Drodro",0.0104454736084019
"104","Fataki",0
"105","Gety",0.00119415430680308
"106","Jiba",0
"107","Kilo",0.0248191020776798
"108","Komanda",0.000314578315326388
"109","Linga",0
"110","Lita",0.00200776902478676
"111","Lolwa",0.0018826641355952
"112","Mambasa",0.000247765841389237
"113","Mandima",0.0036713041422267
"114","Mangala",0
"115","Mongbwalu",0.000622003333940507
"116","Nia Nia",0.000133040614712913
"117","Nizi",0.0206195423677537
"118","Nyankunde",0.00213655009208572
"119","Rethy",0
"120","Rwampara",0.0253799226403523
"121","Tchomia",0.0379973413838296
"122","Bulape",0
"123","Dekese",0
"124","Ilebo",0
"125","Kakenge",0
"126","Luebo",0
"127","Mikope",0
"128","Mushenge",0
"129","Mweka",0
"130","Ndjoko Mpunda",0
"131","Banga Lubaka",0
"132","Kalonda Ouest",0.00958772336574055
"133","Kamonia",0.00208110844288375
"134","Kamwesha",0.00209198125811423
"135","Kanzala",0.00783622463188689
"136","Kitangwa",0
"137","Mutena",0
"138","Nyanga",0
"139","Tshikapa",0.00196685931098858
"140","Bena Leka",0
"141","Bena Tshadi",0
"142","Bilomba",0
"143","Bobozo",0
"144","Bunkonde",0
"145","Demba",0
"146","Dibaya",0
"147","Kananga",0.00578638558950557
"148","Katende",0
"149","Katoka",0
"150","Lubondaie",0
"151","Lubunga (Kasaï-Central)",0
"152","Lukonga",0
"153","Mikalayi",0
"154","Muetshi",0
"155","Mutoto",0
"156","Ndekesha",0
"157","Ndesha",0
"158","Tshikaji",0
"159","Tshikula",0
"160","Kalomba",0
"161","Luambo",0
"162","Luiza",0
"163","Masuika",0.000450286481261877
"164","Tshibala",0
"165","Yangala",0
"166","Bibanga",0.00132583062651127
"167","Bipemba",0
"168","Bonzola",0.0696209386877441
"169","Cilundu",0
"170","Citenge",0.0044246628818482
"171","Dibindi",0.210204853495766
"172","Diulu",0
"173","Kabeya Kamwanga",0
"174","Kansele",0
"175","Kasansa",0
"176","Lubilanji",0
"177","Lukelenge",0
"178","Miabi",0.00171581069809536
"179","Mpokolo",0
"180","Mukumbi",0.000954794208150631
"181","Muya",0
"182","Nzaba",0
"183","Tshilenge",0
"184","Tshishimbi",0.00176613640235264
"185","Bumbu",6.41055452475426
"186","Kalamu 1",4.69172362661261
"187","Kalamu 2",4.2416374189105
"188","Kasa Vubu",5.96883100391533
"189","Kingabwa",5.23714800933432
"190","Kisenso",3.40411462480508
"191","Lemba",3.14340870538691
"192","Limete",3.15841029424685
"193","Makala",2.68839137454554
"194","Matete",7.34095542800427
"195","Ngaba",5.25100909424305
"196","Ngiri Ngiri",9.51557936622285
"197","Biyela",1.06179284155937
"198","Kikimi",0.997974916750802
"199","Kimbanseke",1.24955511088717
"200","Kingasani",3.47558011112348
"201","Maluku 1",0.00464598559533996
"202","Maluku 2",0.00405832821832306
"203","Masina 1",4.65183938586412
"204","Masina 2",2.8460409714353
"205","Ndjili",5.48265045357538
"206","Nsele",0.0226904238237325
"207","Bandalungwa",5.80991273097573
"208","Barumbu",5.36382517604649
"209","Binza Meteo",0.801282332881231
"210","Binza Ozone",0.803451785903353
"211","Gombe",2.45599622702971
"212","Kinshasa",5.47733257779972
"213","Kintambo",2.84633763283627
"214","Kokolo",1.88099053131802
"215","Lingwala",4.03633499575719
"216","Mont Ngafula 1",0.111100932716787
"217","Mont Ngafula 2",0.402755919923153
"218","Police",3.91985160184167
"219","Selembao",1.97454772666784
"220","Boma",0.00934005592594153
"221","Boma Bungu",0
"222","Kangu",0
"223","Kinkonzi",0
"224","Kitona",0
"225","Kizu",0
"226","Kuimba",0
"227","Lukula",0.000389487448945834
"228","Muanda",0.000882758040054947
"229","Tshela",0
"230","Vaku",0
"231","Inga",0
"232","Kibunzi",0
"233","Luozi",0
"234","Mangembo",0
"235","Matadi",0.0160595662335515
"236","Nsona Mpangu",0.000446692546280071
"237","Nzanza",0
"238","Seke Banza",0
"239","Boko Kivulu",0
"240","Gombe Matadi",0
"241","Kimpangu",0
"242","Kimpese",0
"243","Kimvula",0
"244","Kisantu",0
"245","Kwilu Ngongo",0
"246","Massa",0.000511978708612716
"247","Mbanza Ngungu",0.0140352777751633
"248","Ngidinga",0
"249","Nselo",0
"250","Sona Bata",0
"251","Kahemba",0
"252","Kajiji",0
"253","Kisanji",0
"254","Panzi",0
"255","Tembo",0
"256","Boko",0
"257","Feshi",0
"258","Kasongo Lunda",0
"259","Kenge",0
"260","Kimbao",0
"261","Kitenda",0
"262","Mwela Lembwa",0
"263","Popokabaka",0.000294720793905415
"264","Wamba Lwadi",0
"265","Bagata",0
"266","Bandundu",0.00651421606348219
"267","Djuma",0
"268","Kikongo",0
"269","Sia",0
"270","Vanga",0.000814425039544964
"271","Bulungu",0
"272","Gungu",0
"273","Idiofa",0
"274","Ipamu",0
"275","Kikwit Nord",0.00779832112627721
"276","Kikwit Sud",0
"277","Kimputu",0
"278","Kingandu",0.00173495715359505
"279","Koshibanda",0
"280","Lusanga",0
"281","Masi Manimba",0
"282","Moanza",0
"283","Mokala",0.000307550084948736
"284","Mosango",0
"285","Mukedi",0
"286","Mungindu",0
"287","Pay Kongila",0
"288","Yasa Bonga",0
"289","Kabinda",0.000535138628598397
"290","Kalambayi Kabanga",0.000260275484021803
"291","Kalonda Est",0
"292","Kamana",0
"293","Lubao",0
"294","Ludimbi Lukula",0
"295","Mulumba",0
"296","Ngandajika",0.00364839305055678
"297","Tshofa",0
"298","Kalenda",0
"299","Kamiji",0
"300","Kanda Kanda",0
"301","Luputa",0.000276502371807238
"302","Makota",0.164783806575917
"303","Mweneditu",0
"304","Wikong",0
"305","Dilolo",0.000219914078843892
"306","Kafakumba",0
"307","Kalamba",0
"308","Kapanga",0
"309","Kasaji",0
"310","Sandoa",0
"311","Bunkeya",0
"312","Dilala",0
"313","Fungurume",0
"314","Kanzenze",0
"315","Lualaba",0
"316","Lubudi",0.000102121160421597
"317","Manika",0
"318","Mutshatsha",0
"319","Banzow Moke",0
"320","Inongo",0.00101107665780801
"321","Kiri",0.000373138273293943
"322","Mimia",0
"323","Ntandembelo",0
"324","Oshwe",0
"325","Pendjwa",0.00417270179146969
"326","Yumbi",0.000366733197508248
"327","Bokoro",0
"328","Bolobo",0
"329","Bosobe",0
"330","Kwamouth",0
"331","Mushie",0
"332","Nioki",0.000165606895621514
"333","Kabambare",0.000183782779464036
"334","Kampene",0
"335","Kasongo",0
"336","Kibombo",0.00183781370477746
"337","Kunda",0
"338","Lusangi",0
"339","Saramabila",0
"340","Tunda",0
"341","Alunguli",0
"342","Kailo",4.53952608627253e-05
"343","Kalima",0
"344","Kindu",0.00374761513777315
"345","Pangi",0
"346","Samba",0
"347","Ferekeni",0
"348","Lubutu",0
"349","Obokote",0
"350","Punia",0
"351","Bumba",0
"352","Lolo",0
"353","Yamaluka",0
"354","Yambuku",0
"355","Yamongili",0
"356","Binga",0
"357","Bongandanga",0
"358","Boso Manzi",0.00019790629539964
"359","Boso Mondanda",0
"360","Bosondjo",0
"361","Lisala",0
"362","Pimu",0
"363","Alimbongo",0.00134363060908628
"364","Beni",0.166661900029478
"365","Biena",0.00172271859469932
"366","Butembo",0.514637593636518
"367","Kalunguta",0.0349755818927447
"368","Kamango",0.00539672384090045
"369","Katwa",1.52380132058481
"370","Kyondo",0.0349020137651872
"371","Lubero",0.0198982844185496
"372","Mabalako",0.0170002784890999
"373","Manguredjipa",0.000561896749366927
"374","Masereka",0.065931503841652
"375","Musienene",0.0435915514960348
"376","Mutwanga",0.0109169612914741
"377","Oicha",0.0118056995027821
"378","Vuhovi",0.0623075720837882
"379","Bambo",0.00830882932765535
"380","Binza",0
"381","Birambizo",0
"382","Goma",1.12531879639762
"383","Itebero",0
"384","Karisimbi",1.70947660270829
