nom,date,national_security_fr
DRC,31-05-2026,"La présence de groupes armés dans les territoires de Djugu, Irumu et Mambasa continue de limiter l'accès humanitaire dans plusieurs zones sanitaires touchées ou à risque."
DRC,01-06-2026,"La présence de groupes armés dans les territoires de Djugu, Irumu et Mambasa continue de limiter l'accès humanitaire dans plusieurs zones sanitaires touchées ou à risque."
DRC,02-06-2026,"La présence de groupes armés dans les territoires de Djugu, Irumu et Mambasa continue de limiter l'accès humanitaire dans plusieurs zones sanitaires touchées ou à risque. Une équipe du SDB a été agressée au cimetière de Bunia, faisant 5 blessés parmi les intervenants."
DRC,03-06-2026,Un briefing de sécurité a été dispensé à 19 experts arrivés de Kinshasa.
DRC,01-07-2026,"L'insecurity (CODECO, ADF) limite l'accès aux zones à haut risque. PERSPECTIVES : Renforcer la coordination de la sécurité et l'accès humanitaire."
DRC,05-07-2026,"Les défis liés à la sécurité incluent la résistance communautaire affectant la réponse à Bunia ; les limitations d'accès dues à l'insecurity (CODECO, ADF) restreignant les opérations dans les zones à haut risque."
DRC,06-07-2026,"96 cas de personnel de santé, dont 19 décès. Défis : résistance communautaire, insécurité (CODECO/ADF), grève du personnel à Bunia et Rwampara."
DRC,08-07-2026,"DÉFIS : Grèves des prestataires de santé à Bunia et Rwampara. Insécurité et accès limité (CODECO, ADF). PERSPECTIVES : Renforcement de la coordination de la sécurité et de l'accès humanitaire."
DRC,11-07-2026,"Aucun nouvel incident sécuritaire majeur rapporté. Vigilance renforcée autour des PoE/PoC et structures de prise en charge. Poursuite de la coordination avec les autorités politico-administratives et sécuritaires pour garantir l'accès des équipes aux zones à risque."
DRC,13-07-2026,"Aucun incident sécuritaire majeur. Équipes sécurisées aux PoC/PoE et EDS. DÉFIS : L'insécurité avec CODECO/ADF restreint l'accès. PERSPECTIVES : Renforcer la coordination de la sécurité et l'accès humanitaire."
DRC,15-07-2026,"DÉFIS : L'insécurité (CODECO, ADF) restreint les opérations en Ituri et au Nord-Kivu."
DRC,17-07-2026,"DÉFIS: Insécurité (CODECO/ADF), attaque équipe EDS à Muchanga, résistance communautaire."
DRC,18-07-2026,"DÉFIS: Insécurité (CODECO/ADF), attaque équipe EDS à Muchanga, résistance communautaire."
DRC,19-07-2026,"Attaque au pont Muchanga. Résistances communautaires rapportées à Komanda, Mambasa, Mandima et Mangala. Incident communautaire à Tuungane nécessitant intervention sécurité/mitigation. Poursuite de la grève des prestataires à Bunia et Rwampara (reprise annoncée après intervention du gouverneur militaire)."
DRC,20-07-2026,"DÉFIS: Insécurité (CODECO/ADF) restreint les opérations; attaque équipe EDS à Muchanga; résistance communautaire."
DRC,22-07-2026,"DÉFIS: Insécurité (CODECO/ADF), attaque équipe EDS à Muchanga, résistance communautaire."
DRC,23-07-2026,"DÉFIS: Insécurité (CODECO/ADF), attaque équipe EDS à Muchanga, résistance communautaire; besoin de sécuriser les équipes."
DRC,25-07-2026,"DÉFIS: Insécurité (CODECO/ADF), attaque équipe EDS à Muchanga, résistance communautaire; besoin de sécuriser équipes et intensifier RCCE."
DRC,26-07-2026,"DÉFIS: Insécurité (CODECO/ADF), attaque équipe EDS à Muchanga, résistance communautaire; besoin de sécuriser équipes et intensifier RCCE."
DRC,27-07-2026,"DÉFIS: Insécurité (CODECO/ADF), attaque équipe EDS à Muchanga, résistance communautaire; besoin de sécuriser équipes et intensifier RCCE."
DRC,01-08-2026,"DÉFIS: Insécurité (CODECO/ADF), attaque équipe EDS à Muchanga, résistance communautaire aux prélèvements; ambulance vandalisée à Beni."
DRC,02-08-2026,"DÉFIS: Insécurité (CODECO/ADF), attaque équipe EDS à Muchanga, résistance communautaire; besoin de sécuriser équipes et intensifier RCCE."
DRC,03-08-2026,"DÉFIS: Insécurité (CODECO/ADF), attaque équipe EDS à Muchanga, ambulance caillassée à Beni; résistance communautaire."
DRC,04-08-2026,"DÉFIS: Insécurité (CODECO/ADF), attaque équipe EDS à Muchanga, résistance communautaire; ambulance caillassée à Beni."
DRC,11-08-2026,"DÉFIS: Insécurité persistante, agressions à Mukulia, résistance communautaire aux EDS, 10 refus à Mangala, corps enlevé par communauté à Katwa."
DRC,17-08-2026,"DÉFIS: Poches d'insécurité persistent, notamment dans une partie de la ZS de Gombari, limitant l'accès des équipes et la mise en œuvre sécurisée."
DRC,19-08-2026,"DÉFIS: Équipe EDS agressée à Kasanga Tuha (plusieurs blessés, 1 décès probable); véhicule caillassé à Komanda; incidents sécuritaires persistants visant les équipes."
DRC,20-08-2026,"DÉFIS: Risques sécuritaires persistants; résistance à Bambole (Buta) levée via mission conjointe avec ministres provinciaux; supervision des agents de sécurité aux PoE/PoC en cours."
