nom,date,provincial_logistics_fr
Ituri,17-05-2026,Une réunion préparatoire a eu lieu pour une évaluation des besoins logistiques pour tous les piliers.
Ituri,19-05-2026,"L'identification du parc de véhicules comprenait 4 ambulances (à HGR Bunia, HGR Mongbwalu, PNC et UMIR). Les programmes et coordinations disposaient de 3 véhicules (CPLT, MTN, PEV). L'OMS a fourni 5 véhicules pour le pilier surveillance. L'UNICEF a fourni 6 véhicules de location, dont 1 pour SBC."
North-Kivu,20-05-2026,Une évaluation des besoins logistiques a été élaborée pour plusieurs zones de santé. Des kits Starlink pour la connexion Internet ont été acquis auprès de l'UNICEF. Cinq véhicules donnés par l'OMS ont été reçus. Deux cents litres de diesel ont été reçus grâce au soutien de MEMISA-Belgique.
Ituri,22-05-2026,Des intrants et des équipements de protection ont été livrés aux piliers laboratoire et IPC pour quatre installations de catégorie 1. Des intrants et des équipements de protection ont également été livrés à une zone de santé pour des enterrements sûrs et dignes. Le déballage des intrants et équipements reçus le 21 mai 2026 a eu lieu. Un suivi des travaux d’installation des tentes de soins et d’installation des ETC a été réalisé.
Ituri,06-06-2026,"Un suivi des travaux de construction d'ETC a été réalisé à HGR Bunia (travaux de finition en cours), CME Bunia et HGR Rwampara. Un suivi des travaux de réhabilitation de l’ETC a également été réalisé à HGR Katwa."
North-Kivu,06-06-2026,"Du matériel de laboratoire a été livré à l'INRB/Beni, dont 24 thermo-flash pour le PNHF et 4 thermo-flash pour HGR Katwa. La préparation de l’évaluation des besoins en approvisionnement pour les piliers de Katwa HZ a été réalisée. Un suivi de l'entretien des véhicules de zone et des déplacements des 4 véhicules fournis par l'OIM a eu lieu."
Ituri,07-06-2026,"Les travaux de construction d'ETC ont été suivis à HGR Bunia (finition en cours), CME Bunia et HGR Rwampara. Les apports IPC ont été livrés au CS Bigo, au CME Bunia (crèche), au DPS et à l'orphelinat CHEM-CHEM. Des médicaments ont été livrés à Bunia HZ. Les travaux de réhabilitation de l'ETC ont été surveillés à HGR Katwa. Un soutien continu a été fourni pour répondre aux besoins réguliers de tous les piliers."
Ituri,08-06-2026,"Un approvisionnement en intrants a été fourni à 31 formations sanitaires ou zones de santé, et des médicaments (articles critiques) ont été fournis à 5 zones de santé. Au total, 135 motos ont assuré la mobilité des équipes de terrain au niveau des différentes zones et piliers de santé. Au total, 34 véhicules, dont 2 ambulances fonctionnelles, ont assuré la mobilité des équipes de coordination et de terrain dans les différentes zones de santé."
Ituri,24-06-2026,"23 véhicules et 4 ambulances déployés. 10 contrats de véhicules renouvelés (appui UG-PDSS). Approvisionnement en intrants pour les piliers Bien-être et Surveillance. Complément d'intrants PCI pour Kilo. Préparation de kits médicaments pour Nia-Nia. 12 colis Tyvek (98 kg) livrés à Mongbwalu et 22 colis intrants PCI (202 kg) pour la formation à Nizi. Infrastructure : poursuite des travaux du nouveau CTE à HGR Bunia ; 12 nouvelles tentes opérationnelles au CME Bunia ; 1 tente installée pour le pilier Bien-être."
Nord-Kivu,24-06-2026,"Livraison des médicaments UG-PDSS à Butembo, Kalunguta et Katwa. Livraison d'intrants PCI à Beni. Déploiement des équipes des piliers. Livraison d'intrants PCI au sous-pilier PoC/PoE pour le PoC Kasitu."
Ituri,25-06-2026,"24 véhicules et 4 ambulances déployés. Installation de puces électroniques sur 100 motos UNICEF et 60 motos du gouvernement central. Livraison d'intrants PCI pour les EDS ; préparation des intrants PCI pour le CSR Sota. Poursuite des travaux d'aménagement aux CTE HGR Bunia et HGR Rwampara. CTE opérationnels : HGR Bunia, HGR Nyankunde, ISTM Nyankunde, HGR Aru, HGR Rwampara et CME Bunia."
Ituri,27-06-2026,"Réception d'intrants (appui OMS). Livraison de thermoflash au pilier Surveillance. Livraison d'intrants PCI et médicaments à Nia-Nia et Mambasa. Livraison d'intrants PCI à Rwampara et à la Croix-Rouge. Poursuite des travaux d'aménagement aux CTE HGR Bunia, HGR Rwampara et HGR Mongbwalu. Suivi des infrastructures opérationnelles à HGR Bunia, CME Bunia, HGR Nyankunde, ISTM Nyankunde, HGR Rwampara, HGR Aru et HGR Mongbwalu."
Nord-Kivu,27-06-2026,"Réception d'équipements informatiques UNICEF (5 imprimantes, 4 cartouches, 1 ordinateur)."
