"","nom","pop_count"
"1","Aketi",188784.97504507
"2","Ango",161062.516953773
"3","Bili (Bas-Uele)",63455.8941055952
"4","Bondo",287099.395830722
"5","Buta",274964.429555477
"6","Ganga",235400.828349594
"7","Likati",143525.535225582
"8","Monga",129644.571066835
"9","Poko",222566.327788375
"10","Titule",75789.7317617116
"11","Viadana",187873.133453346
"12","Aba",209106.319414451
"13","Boma Mangbetu",230103.99410288
"14","Doruma",73599.9240577904
"15","Dungu",307762.687829134
"16","Faradje",189406.297303139
"17","Gombari",122901.364838492
"18","Isiro",512401.445787204
"19","Niangara",183370.426719655
"20","Pawa",301767.649654037
"21","Rungu",194803.54298391
"22","Wamba",224757.043756204
"23","Makoro",219858.203470129
"24","Watsa",491575.127054141
"25","Basankusu",223731.320368874
"26","Bikoro",170290.257964631
"27","Bolenge",78746.8993223592
"28","Bolomba",243797.698828819
"29","Bomongo",113867.068999355
"30","Djombo",88330.1152118235
"31","Iboko",108509.869170162
"32","Ingende",159495.15201905
"33","Irebu",30968.5390218537
"34","Lilanga Bobangi",31952.2150468744
"35","Lotumbe",88960.0575380153
"36","Lukolela",184756.830997696
"37","Makanza",126091.882377951
"38","Mampoko",57676.088563158
"39","Mbandaka",245944.726641186
"40","Monieka",60523.3298646003
"41","Ntondo",62453.0409071572
"42","Wangata",219612.114638122
"43","Kambove",240169.132512189
"44","Kapolowe",254178.079614143
"45","Kikula",124013.591285665
"46","Kilela Balanda",67568.3924639751
"47","Likasi",187272.89816674
"48","Mitwaba",86370.7218556452
"49","Mufunga Sampwe",142466.418778593
"50","Panda",112913.035158385
"51","Kafubu",160468.759895723
"52","Kamalondo",17360.9222014527
"53","Kampemba",330311.67598403
"54","Kasenga",178958.745641778
"55","Kashobwe",68880.8527055296
"56","Katuba",76686.3051602902
"57","Kenya",119969.745318355
"58","Kilwa",251857.998062777
"59","Kipushi",226623.577738265
"60","Kisanga",272723.61935739
"61","Kowe",15614.1417429147
"62","Lubumbashi",466505.106652696
"63","Lukafu",120570.48904195
"64","Mumbunda",460166.683389089
"65","Pweto",141814.693708133
"66","Ruashi",297848.051975673
"67","Sakania",355618.815945295
"68","Tshamilemba",195069.44368826
"69","Vangu",42800.3158621834
"70","Bukama",280613.67678199
"71","Butumba",90505.5091986268
"72","Kabondo Dianda",232868.69517815
