dataset,file,type,status,n_rows,n_zones_covered,reasons,checked_at
flowminder_short_trips,metadata.yaml,metadata,pass,,,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static.csv,vector,pass,428,426,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static.matrix.csv,matrix,pass,4,4,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static.csv,vector,pass,428,426,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static.matrix.csv,matrix,pass,4,4,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__nk_subscriber_days_followup_20260608__static.csv,vector,pass,429,427,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__nk_subscriber_days_followup_20260608__static.matrix.csv,matrix,pass,3,3,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__nk_subscriber_days_prior_20260503__static.csv,vector,pass,429,427,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__nk_subscriber_days_prior_20260503__static.matrix.csv,matrix,pass,3,3,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260430__static.csv,vector,pass,130,128,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260430__static.matrix.csv,matrix,pass,3,3,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260507__static.csv,vector,pass,130,128,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260507__static.matrix.csv,matrix,pass,3,3,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260514__static.csv,vector,pass,130,128,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260514__static.matrix.csv,matrix,pass,3,3,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260521__static.csv,vector,pass,130,128,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260521__static.matrix.csv,matrix,pass,3,3,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260524__static.csv,vector,pass,130,128,,2026-07-08T18:05:18+00:00
flowminder_short_trips,flowminder_short_trips__outflow_20260524__static.matrix.csv,matrix,pass,3,3,,2026-07-08T18:05:18+00:00
